,comm-soft,crypto,eq-em,comm-enrgy,eq-as,fi-us,eq-divf,fx-dm,eq-vol,fx-em,fi-eu,eq-us,eq-eu,stir,comm-prec,comm-base,fi-as,Total,,,,,,
Total PnL,903835.3336361855,28482.000000000015,-115729.89588799942,1906445.590676506,0.0,3935566.4834400043,160451.96205999504,2486417.2692080755,324676.37286999135,2355134.782520583,3140218.966489844,0.0,62642.11096679991,3083071.308363581,1777519.3000000303,0.0,576821.4503999525,20625553.034743547,,,,Settings: ,Settings: ,26102024_0013
Average Ann. PnL,19344.870398871983,609.6028537455413,-2476.9775576504035,40803.82952696445,0.0,84233.28977636156,3434.1680345777772,53217.01646343086,6949.078135148447,50407.16538093994,67210.39405091223,0.0,1340.7348363881074,65987.25749172944,38044.408323425145,0.0,12345.762315337866,441450.6000301829,,,,byac,True,
Average Ann. Vol,96263.204885506,9380.138149553462,14307.152952058706,161200.19546837473,0.0,548129.24624323,65040.73142904183,365601.8851861815,177676.51977769964,215025.05385948435,483152.7499200922,0.0,15528.34164275011,375631.2211707122,150326.30715157205,0.0,239226.12042570137,1181162.797098955,,,,byassets,False,
Sharpe Ratio (ann.),0.20095809631396008,0.06498868609675662,-0.17312861377455133,0.2531251864081617,,0.153674138633689,0.052800267757203624,0.1455600165637283,0.03911084111644466,0.23442461460272565,0.13910796132698833,,0.08634114751165792,0.17567032177482494,0.25307884590729335,,0.05160708326234886,0.37374238429658174,,,,totalsys,True,
Sortino Ratio (ann.),0.122845636777335,,-0.005960484798357096,0.10796639924451591,,0.0604853988705291,0.009094101686497406,0.0851197319758222,0.0071690735007746,0.10561032129509135,0.05658899817042908,,0.00544818367305097,0.08566823059711609,0.0627061811501088,,0.019191476446781385,0.3535932020334359,,,,filter_assets,[],
Max drawdown,440779.6381452007,28800.0,115729.89588799942,637555.4000000027,0.0,2432715.386940007,372225.31594000146,1312066.0752760062,1294951.858800009,889088.2197723743,2539854.637130063,0.0,90660.45419320009,2548374.734119018,656058.0000000028,0.0,1185815.0182000222,5883384.240200625,,,,filter_ac,[],
Average drawdown,160309.8801767517,28800.0,107135.51386232929,205431.34369312477,,956703.4288962261,121700.02663099449,586029.0010194943,658945.082747119,231927.43847705075,736876.8415421308,,78189.49559882305,902450.6931134084,175386.5890257184,,330822.25341410347,1321919.0759507702,,,,start_date,,
Max drawdown Duration,4007.0,892.0,6725.0,3663.0,0.0,3866.0,1035.0,5766.0,3625.0,1219.0,3109.0,0.0,6857.0,5110.0,2726.0,0.0,3295.0,2940.0,,,,end_date,,
Avg Drawdown Duration,236.06382978723406,892.0,6725.0,299.57142857142856,0.0,502.9047619047619,379.0,280.85714285714283,548.8888888888889,238.33333333333334,497.4761904761905,0.0,6857.0,368.5769230769231,539.7647058823529,0.0,811.0833333333334,119.2872340425532,,,,,,
Total Number of Drawdowns,47.0,1.0,1.0,35.0,0.0,21.0,6.0,35.0,9.0,30.0,21.0,0.0,1.0,26.0,17.0,0.0,12.0,94.0,,,,,,
Drawdowns per year,1.0059453032104637,0.02140309155766944,0.02140309155766944,0.7491082045184304,0.0,0.44946492271105826,0.12841854934601665,0.7491082045184304,0.19262782401902498,0.6420927467300832,0.44946492271105826,0.0,0.02140309155766944,0.5564803804994055,0.3638525564803805,0.0,0.2568370986920333,2.0118906064209274,,,,,,
HWM PnL,1086829.809546186,57282.000000000015,0.0,1977431.6682765062,0.0,4796337.353370008,524734.5987999975,2830616.5423360714,1127787.285469998,2658060.097130234,4094927.2778999293,0.0,153302.56516,3622785.038836457,1777519.30000003,0.0,1148024.994199939,22055316.654393315,,,,,,
Exposure Time,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,,,,,,
Daily PnL Skew,0.15563142118381235,67.5379288284958,-52.22587039276955,2.376346732374491,,2.138377489870924,14.78408357425177,0.7595821250525816,-0.1207302156403564,2.2249754515432794,2.3336936310553504,,36.377609983484696,2.9673466455856565,3.7971786927609004,,5.658747520524214,2.0996518889264935,,,,,,
Weekly PnL Skew,0.07978223559491195,43.91941267929852,-33.83166313875475,1.8472524896364824,,1.4078642916276718,14.824857593550766,1.0552529246199243,-1.6409859681760386,1.3990076764242612,0.9023113640899616,,33.03632558112003,2.5529585665646035,3.1061770344003636,,3.1460290336514234,1.9773355155855357,,,,,,
Monthly PnL Skew,0.14385598327649446,23.26221042997086,-17.54756049726681,1.4406676109455385,,0.9727167954691036,5.431962462550991,1.3230111055398739,-0.3842861980805056,0.8389462201002427,1.5863981819852104,,17.013861701329983,1.4839258610009363,1.8285861625041717,,2.085515512841598,1.5857866587185159,,,,,,
Quarterly PnL Skew,-0.05505851683128624,13.455288512515702,-9.976732009392258,1.3541235209748705,,0.3911264051942165,3.156532413342911,1.525076341504277,0.35807274592622396,0.44399477547900423,1.1870329183036668,,9.848131507043208,1.141576289167606,1.1613967469192608,,1.5659581277922066,0.7722903888576593,,,,,,
Yearly PnL Skew,0.12669902277117234,6.511757613102559,-4.697342593502601,0.7236449934038685,,0.7659241650482537,0.9728557117738201,0.9972072160545522,0.0439753209122153,0.5258880776564516,0.1835833451344803,,4.763579028221034,0.7428610604562359,0.8187066954596652,,0.3694990059737751,0.20821867157434806,,,,,,
Daily Left Tail,63.581928454561194,0.22541792590854565,0.22541792590854565,44.450858772576176,,66.98812444501756,0.22541792590854565,84.30450757804584,0.22541792590854565,49.52459018139926,72.89533583941582,,0.22541792590854565,71.74352333919028,5.508431926753119,,177.88093938814015,28.27655503119437,,,,,,
Daily Right Tail,-69.30892606395177,0.22541792590854556,0.22541792590854556,-48.91749841701399,,-71.742379386534,0.22541792590854556,-88.38158975729354,0.22541792590854556,-52.6305423248982,-76.84562735575425,,0.22541792590854556,-70.54242595255222,-23.079458459573644,,-127.62617566539633,-33.37203532145815,,,,,,
